datetime,Platform Name,location,priority,monitoring item
9/30/2019 12:33,platform 1,location 1,WARNING,Consumer
9/30/2019 12:28,platform 1,location 1,WARNING,Consumer
9/30/2019 12:23,platform 1,location 1,WARNING,Consumer
9/30/2019 12:18,platform 1,location 1,WARNING,Consumer
9/30/2019 12:13,platform 1,location 1,WARNING,Consumer
9/30/2019 12:03,platform 1,location 1,WARNING,Consumer
9/30/2019 11:58,platform 1,location 1,WARNING,Consumer
9/30/2019 11:53,platform 1,location 1,WARNING,Consumer
9/30/2019 11:43,platform 1,location 1,WARNING,Consumer
9/30/2019 11:38,platform 1,location 1,WARNING,Consumer
9/30/2019 11:33,platform 1,location 1,WARNING,Consumer
9/30/2019 11:28,platform 1,location 1,WARNING,Consumer
9/30/2019 11:23,platform 1,location 1,WARNING,Consumer
9/30/2019 11:18,platform 1,location 1,WARNING,Consumer
9/30/2019 11:13,platform 1,location 1,WARNING,Consumer
9/30/2019 11:08,platform 1,location 1,WARNING,Consumer
9/30/2019 11:03,platform 1,location 1,WARNING,Consumer
9/30/2019 10:58,platform 1,location 1,WARNING,Consumer
9/30/2019 10:38,platform 1,location 1,WARNING,Consumer
9/30/2019 10:33,platform 1,location 1,WARNING,Consumer
9/30/2019 10:23,platform 1,location 1,WARNING,Consumer
9/30/2019 10:13,platform 1,location 1,WARNING,Consumer
9/30/2019 9:58,platform 1,location 1,WARNING,Consumer
9/30/2019 9:28,platform 1,location 1,WARNING,Consumer
9/30/2019 9:23,platform 1,location 1,WARNING,Consumer
9/30/2019 9:08,platform 1,location 1,WARNING,Consumer
9/30/2019 8:53,platform 1,location 1,WARNING,Consumer
9/30/2019 8:43,platform 1,location 1,WARNING,Consumer
9/30/2019 8:38,platform 1,location 1,WARNING,Consumer
9/30/2019 8:28,platform 1,location 1,WARNING,Consumer
9/30/2019 8:18,platform 1,location 1,WARNING,Consumer
9/30/2019 8:08,platform 1,location 1,WARNING,Consumer
9/30/2019 8:03,platform 1,location 1,WARNING,Consumer
9/30/2019 7:58,platform 1,location 1,WARNING,Consumer
9/30/2019 7:53,platform 1,location 1,WARNING,Consumer
9/30/2019 7:48,platform 1,location 1,WARNING,Consumer
9/30/2019 7:43,platform 1,location 1,WARNING,Consumer
9/30/2019 7:38,platform 1,location 1,WARNING,Consumer
9/30/2019 7:33,platform 1,location 1,WARNING,Consumer
9/30/2019 7:28,platform 1,location 1,WARNING,Consumer
9/30/2019 7:18,platform 1,location 1,WARNING,Consumer
9/30/2019 7:13,platform 1,location 1,WARNING,Consumer
9/30/2019 7:08,platform 1,location 1,WARNING,Consumer
9/30/2019 7:03,platform 1,location 1,WARNING,Consumer
9/30/2019 6:58,platform 1,location 1,WARNING,Consumer
9/30/2019 6:48,platform 1,location 1,WARNING,Consumer
9/30/2019 6:43,platform 1,location 1,WARNING,Consumer
9/30/2019 6:38,platform 1,location 1,WARNING,Consumer
